a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20220623.1-1
accerciser 3.40.0-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
acpid 2.0.34-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aha 0.5.1-2
alacritty 0.10.1-2
alsa-card-profiles 1:0.3.58-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
android-tools 33.0.3-1
android-udev 20220903-1
aom 3.4.0-1
apache 2.4.54-1
appstream 0.15.5-1
appstream-glib 0.8.1-1
appstream-qt 0.15.5-1
apr 1.7.0-3
apr-util 1.6.1-9
archlinux-appstream-data 20220830-1
archlinux-keyring 20220831-1
argon2 20190702-4
asciinema 2.2.0-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
attica 5.98.0-1
attr 2.5.1-2
audiofile 0.3.6-7
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.09.03-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.96-1
baloo 5.98.0-1
baobab 42.0-1
base 3-1
bash 5.1.016-1
bash-completion 2.11-2
bashblog-git 3-1
bashtop 0.9.25-1
bc 1.07.1-4
betterlockscreen 4.0.4-1
binutils 2.39-3
bison 3.8.2-4
blas 3.10.1-1
bluedevil 1:5.25.5-1
blueman 2.3.2-1
bluez 5.65-3
bluez-libs 5.65-3
bluez-qt 5.98.0-1
bluez-utils 5.65-3
bolt 0.9.3-1
boost-libs 1.80.0-1
brave-bin 1:1.44.101-1
breeze 5.25.5-1
breeze-gtk 5.25.5-1
breeze-icons 5.98.0-1
breezy 3.2.2-2
brightnessctl 0.5.1-2
brltty 6.5-2
brotli 1.0.9-8
bspwm 0.9.10-2
btrfs-progs 5.19.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.83-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
cblas 3.10.1-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
cheese 41.1-2
chromaprint 1.5.1-4
cifs-utils 7.0-1
clang 14.0.6-2
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.24.2-1
cmark 0.30.2-1
code 1.71.2-1
cogl 1.22.8-2
cointop 1.6.10-1
colord 1.4.6-1
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-sane 1.4.6-1
compiler-rt 14.0.6-1
confuse 3.3-3
convertlit 1.8-10
coreutils 9.1-1
cowsay 3.04-2
cpio 2.13-2
cracklib 2.9.8-1
cronie 1.6.1-1
cryptsetup 2.5.0-1
ctags 1:5.9.20220828.0-1
cups-pk-helper 0.2.7-1
curl 7.85.0-2
cython 0.29.32-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
dconf-editor 3.38.3-2
desktop-file-utils 0.26-2
devhelp 41.3-1
device-mapper 2.03.16-2
diffutils 3.8-1
discount 2.2.7.b-1
discover 5.25.5-1
djvulibre 3.5.28-3
dleyna-connector-dbus 0.4.1-1
dleyna-core 0.7.0-3
dleyna-renderer 0.7.2-1
dleyna-server 0.7.2-1
dmenu 5.1-1
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
dotconf 1.3-6
